date,type,address,city,zip,price,beds,baths,neighborhood,sqft,lotsize,year,hoa,url,mls,latitude,longitude,dist
June-30-2023,condo,43 Sacramento St #1,Cambridge,2138,1100000,2,1,Agassiz,1009,NA,1916,181,https://www.redfin.com/MA/Cambridge/43-Sacramento-St-02138/unit-1/home/11601201,73107188,42.3827243,-71.1153638,1.058811718
June-8-2023,condo,42 Union St #2,Cambridge,2141,675000,1,1,Cambridge,837,NA,1916,132,https://www.redfin.com/MA/Cambridge/42-Union-St-02141/unit-2/home/11556700,73106808,42.3704146,-71.0947403,2.026411551
March-31-2023,condo,85 Sherman St #5,Cambridge,2138,920000,2,2.5,Cambridge,1175,NA,1916,440,https://www.redfin.com/MA/Cambridge/85-Sherman-St-02140/unit-5/home/11594460,73075653,42.3881146,-71.1325507,1.962719159
May-1-2023,condo,49 Bristol St #1,Cambridge,2141,880000,2,2,Kendall Square,989,NA,1916,211,https://www.redfin.com/MA/East-Cambridge/49-Bristol-St-02141/unit-1/home/18679823,73087867,42.3683678,-71.0925219,2.254172036
May-15-2023,condo,120 Fayerweather St #2,Cambridge,2138,2125000,3,2,Cambridge,1818,NA,1916,350,https://www.redfin.com/MA/Cambridge/120-Fayerweather-St-02138/unit-2/home/11596725,73090317,42.3833638,-71.1365487,1.806605467
May-16-2023,townhouse,110-112 Amory St #3,Cambridge,2139,1075000,2,2,Cambridge,1071,NA,1916,228,https://www.redfin.com/MA/Cambridge/110-112-Amory-St-02139/unit-3/home/39915398,73096483,42.3718913,-71.1003142,1.548450549
October-21-2022,condo,78-80 Thorndike St #78,Arlington,2474,705000,2,1,East Arlington,1002,NA,1917,175,https://www.redfin.com/MA/Arlington/78-80-Thorndike-St-02474/unit-78/home/77500401,73038484,42.4008711,-71.1409227,3.530602759
October-31-2022,condo,41 Sunset Rd #41,Somerville,2144,835000,3,2,Somerville,1660,NA,1917,260,https://www.redfin.com/MA/Somerville/41-Sunset-Rd-02144/unit-41/home/181751188,73035799,42.4090608,-71.1252624,3.980913662
May-24-2023,singlefamily,27 Lafayette St,Arlington,2474,945050,2,2,East Arlington,1441,3999,1919,NA,https://www.redfin.com/MA/Arlington/27-Lafayette-St-02474/home/8399176,73104026,42.4009953,-71.1387854,3.456393123
April-27-2023,condo,1783 Massachusetts Ave #3,Cambridge,2140,875000,2,1,Cambridge,1147,NA,1920,451,https://www.redfin.com/MA/Cambridge/1783-Massachusetts-Ave-02140/unit-3/home/11574105,73092883,42.3860179,-71.1190531,1.382361201
August-10-2023,condo,850 Massachusetts Ave #10,Cambridge,2139,675000,1,1,Central Square,700,NA,1920,442,https://www.redfin.com/MA/Cambridge/850-Massachusetts-Ave-02139/unit-10/home/11599322,73119278,42.3671415,-71.1072835,1.202260591
August-22-2023,multifamily,64-66 Woods Ave,Somerville,2144,1032500,4,2,Somerville,2128,3084,1920,NA,https://www.redfin.com/MA/Somerville/64-Woods-Ave-02144/home/181049132,73142518,42.4123878,-71.1298687,4.409327338
August-25-2023,multifamily,12-14 Connecticut Ave,Somerville,2145,1300000,6,3,Somerville,3243,3000,1920,NA,https://www.redfin.com/MA/Somerville/12-Connecticut-Ave-02145/home/186160635,73138984,42.3901734,-71.0837767,3.434042368
August-31-2023,multifamily,36 Springfield,Somerville,2143,1100000,5,2,Somerville,2207,4481,1920,NA,https://www.redfin.com/MA/Somerville/36-Springfield-St-02143/home/8730634,73136266,42.3750802,-71.1003151,1.545419721
August-31-2023,multifamily,73-75 Ten Hills Rd,Somerville,2145,1305000,7,4,Somerville,3424,3904,1920,NA,https://www.redfin.com/MA/Somerville/73-Ten-Hills-Rd-02145/home/186089072,73135382,42.3973954,-71.085461,3.823806699
August-4-2023,condo,11 Windom #1,Somerville,2144,1360000,3,3,Davis Square,1731,NA,1920,150,https://www.redfin.com/MA/Somerville/11-Windom-St-02144/unit-1/home/145678757,73128810,42.3932036,-71.1198053,2.183267152
December-23-2022,condo,68 Concord Ave #2,Somerville,2143,1180000,3,2,Inman Square,1606,NA,1920,261,https://www.redfin.com/MA/Somerville/68-Concord-Ave-02143/unit-2/home/182378787,73050020,42.3763188,-71.0999453,1.595966701
December-5-2022,condo,63 Mount Vernon St #6,Cambridge,2140,760000,2,1,Porter Square,830,NA,1920,461,https://www.redfin.com/MA/Cambridge/63-Mount-Vernon-St-02140/unit-6/home/11578634,73054545,42.3876708,-71.1212243,1.576997012
February-28-2023,condo,17 Rose St #17,Somerville,2143,1008000,3,2,Union Square,1565,NA,1920,180,https://www.redfin.com/MA/Somerville/17-Rose-St-02143/unit-17/home/102342651,73071740,42.3786378,-71.1029726,1.432373301
January-13-2023,multifamily,59 Hawthorne St,Somerville,2144,975000,5,2,Davis Square,2554,2194,1920,NA,https://www.redfin.com/MA/Somerville/59-Hawthorne-St-02144/home/8697156,73062619,42.3946778,-71.1195361,2.346783998
January-20-2023,condo,72 Newbern Ave #2,Medford,2155,610000,2,1.5,Tufts University,830,NA,1920,200,https://www.redfin.com/MA/Medford/72-Newbern-Ave-02155/unit-2/home/11798385,73059508,42.3999688,-71.1099489,3.028229929
July-11-2023,multifamily,34-36 Walker St,Somerville,2144,1025000,5,3.5,Somerville,3424,3517,1920,NA,https://www.redfin.com/MA/Somerville/34-Walker-St-02144/home/185801462,73126165,42.4013828,-71.1193516,3.092902255
July-14-2023,multifamily,132 Willow Ave,Somerville,2144,1300000,4,3,Davis Square,2100,2560,1920,NA,https://www.redfin.com/MA/Somerville/132-Willow-Ave-02144/home/8696592,73114572,42.3954878,-71.1160595,2.448505567
July-19-2023,townhouse,11 Rogers Ave #2,Somerville,2144,1325000,3,2.5,Ball Square,2435,NA,1920,360,https://www.redfin.com/MA/Somerville/11-Rogers-Ave-02144/unit-2/home/18863945,73125090,42.3956907,-71.1137942,2.49610104
July-21-2023,condo,14 Ibbetson St #1,Somerville,2143,920000,2,2,Somerville,1281,NA,1920,200,https://www.redfin.com/MA/Somerville/14-Ibbetson-St-02143/unit-1/home/8752989,73112692,42.3854467,-71.1121613,1.433664521
July-21-2023,condo,5 Norwood Ave #2,Somerville,2145,650000,2,1,Magoun Square,988,NA,1920,200,https://www.redfin.com/MA/Somerville/5-Norwood-Ave-02145/unit-2/home/40127037,73128002,42.3958572,-71.102759,2.814624953
July-28-2023,condo,1137 Massachusetts Ave #34,Cambridge,2138,550000,1,1,Harvard Square,362,NA,1920,378,https://www.redfin.com/MA/Cambridge/1137-Massachusetts-Ave-02138/unit-34/home/11569944,73128084,42.3712372,-71.1139594,0.490945564
July-28-2023,multifamily,101-103 Raymond Ave,Somerville,2144,1540000,4,2.5,Tufts University,2286,4300,1920,NA,https://www.redfin.com/MA/Somerville/101-Raymond-Ave-02144/home/8686101,73120009,42.4079533,-71.129403,3.918670616
July-31-2023,condo,280 Windsor St #2,Cambridge,2139,840000,3,1,Cambridge,820,NA,1920,400,https://www.redfin.com/MA/Cambridge/280-Windsor-St-02139/unit-2/home/11601576,73111700,42.368121,-71.094724,2.08760698
July-5-2023,condo,45 Sacramento St #3,Cambridge,2138,975000,2,1,Agassiz,940,NA,1920,300,https://www.redfin.com/MA/Cambridge/45-Sacramento-St-02138/unit-3/home/11573662,73111294,42.3827305,-71.1152362,1.062482935
June-1-2023,condo,83 Conwell Ave #2,Somerville,2144,784000,3,2,Somerville,1128,NA,1920,140,https://www.redfin.com/MA/Somerville/83-Conwell-Ave-02144/unit-2/home/179495539,73103809,42.4083265,-71.1284344,3.94278682
June-1-2023,condo,50 Whitfield Rd #50,Somerville,2144,1185000,3,2,Somerville,1720,NA,1920,250,https://www.redfin.com/MA/Somerville/50-Whitfield-Rd-02144/unit-50/home/180133298,73080762,42.4061912,-71.1248683,3.659976619
June-12-2023,condo,107 Glenwood Rd #3,Somerville,2145,800000,2,2,Winter Hill,1120,NA,1920,200,https://www.redfin.com/MA/Somerville/107-Glenwood-Rd-02145/unit-3/home/12421269,73101306,42.3957072,-71.1013587,2.856645886
