market_value
15.0
2.0
2.5
40.0
8.0
5.0
8.0
15.0
7.0
3.0
10.0
65.0
22.0
6.0
0.5
5.0
25.0
15.0
15.0
7.0
15.0
30.0
14.0
6.0
17.0
22.0
10.0
3.0
2.0
30.0
10.0
4.5
0.25
22.0
6.0
5.0
10.0
9.0
4.0
5.5
5.0
0.65
5.0
15.0
15.0
8.0
2.0
1.0
30.0
2.5
35.0
18.0
5.0
3.0
3.0
1.5
2.5
1.0
0.5
1.0
6.0
15.0
17.0
4.0
6.0
2.5
25.0
5.0
18.0
2.0
30.0
3.0
3.5
25.0
4.0
15.0
7.0
5.0
5.0
30.0
1.5
17.0
0.5
6.0
2.5
32.0
2.0
9.0
65.0
0.5
25.0
2.5
15.0
10.0
2.5
2.0
5.0
7.0
30.0
4.5
2.0
5.5
9.0
3.5
10.0
7.5
9.0
18.0
14.0
5.0
2.5
11.0
6.0
7.0
5.0
22.0
4.0
0.25
6.0
12.0
5.0
7.0
3.0
7.0
75.0
5.0
1.0
7.0
40.0
30.0
45.0
5.0
3.0
50.0
15.0
30.0
5.0
18.0
0.25
20.0
12.0
5.0
9.0
5.0
3.5
12.0
2.0
25.0
10.0
4.0
6.0
0.75
0.75
5.0
1.5
28.0
65.0
0.5
2.5
15.0
2.5
20.0
1.5
5.0
8.0
18.0
3.0
15.0
8.0
3.0
1.0
35.0
4.0
4.5
10.0
5.0
2.0
15.0
10.0
2.5
10.0
5.0
0.25
28.0
1.5
0.25
7.0
7.0
8.0
1.0
0.5
0.5
1.0
20.0
30.0
3.5
5.0
1.5
4.5
5.0
5.5
12.0
9.0
18.0
0.5
8.0
2.0
0.1
1.0
1.5
3.5
6.0
10.0
2.0
8.0
5.0
28.0
1.0
1.5
21.0
1.5
7.0
15.0
2.5
30.0
2.0
3.0
1.0
3.5
6.0
7.0
8.0
2.5
12.0
4.5
9.0
2.0
1.0
8.0
6.0
8.0
5.0
6.0
8.0
3.0
2.5
0.25
0.75
1.5
7.0
12.0
5.0
75.0
15.0
0.5
13.0
4.0
1.5
28.0
18.0
5.0
4.0
0.75
35.0
1.0
1.0
1.25
0.5
7.0
3.0
5.0
15.0
1.0
15.0
3.0
22.0
10.0
4.5
4.0
20.0
6.0
0.25
5.5
4.0
0.75
30.0
1.5
18.0
18.0
3.5
12.0
5.0
28.0
30.0
1.5
10.0
20.0
5.0
5.0
30.0
8.0
12.0
9.0
7.0
15.0
9.0
1.5
4.5
1.0
8.0
13.0
4.0
3.5
6.0
50.0
1.0
0.5
1.5
2.0
25.0
12.0
25.0
15.0
15.0
3.5
18.0
22.0
15.0
5.0
11.0
13.0
15.0
0.5
35.0
10.0
7.0
35.0
1.5
2.5
10.0
25.0
6.0
7.0
15.0
8.0
38.0
5.0
6.0
8.0
15.0
12.0
25.0
22.0
24.0
6.0
12.0
15.0
40.0
8.0
0.05
0.5
30.0
2.5
35.0
10.0
45.0
5.0
7.0
